Id Inscripció,Nom,Nom Lliga,Territorial de la competició,Entitat,Territorial del club,Estat,Codi Lliga,Data Pagament Albara,Data Introducció,Accés a les fases,Is Impresa?,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions,Grups,Email
216642,"Club Futbol Sala Montsant ""A""",FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell D,Casa,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,19:00 h,,,Coordinacionfsmontsant@gmail.com
216641,"Club Futbol Sala Montsant ""A""",FUTBOL 5 CADET MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell D,Fora,FUTBOL 5,CADET,MIXT,Dissabte,20:00 h,,,Coordinacionfsmontsant@gmail.com
216640,"Club Futbol Sala Montsant ""B""",FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell E,Fora,FUTBOL 5,INFANTIL,MIXT,Dissabte,19:00 h,,,Coordinacionfsmontsant@gmail.com
216639,"Club Futbol Sala Montsant ""A""",FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell D,Fora,FUTBOL 5,INFANTIL,MIXT,Dissabte,09:00 h,,,Coordinacionfsmontsant@gmail.com
216638,"Club Futbol Sala Montsant ""C""",FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell D,Fora,FUTBOL 5,PREALEVÍ,MIXT,Dissabte,12:00 h,,,Coordinacionfsmontsant@gmail.com
216637,"Club Futbol Sala Montsant ""B""",FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell C,Casa,FUTBOL 5,PREALEVÍ,MIXT,Dissabte,12:00 h,,,Coordinacionfsmontsant@gmail.com
216636,"Club Futbol Sala Montsant ""A""",FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell C,Casa,FUTBOL 5,PREALEVÍ,MIXT,Dissabte,11:00 h,,,Coordinacionfsmontsant@gmail.com
216611,"Club Futbol Sala Montsant ""B""",FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell E,Fora,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,11:00 h,,,Coordinacionfsmontsant@gmail.com
216610,"Club Futbol Sala Montsant ""A""",FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell C,Casa,FUTBOL 5,BENJAMÍ,MIXT,Dissabte,11:00 h,,,Coordinacionfsmontsant@gmail.com
216585,"Club Futbol Sala Montsant ""B""",FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell D,Fora,FUTBOL 5,PREBENJAMÍ,MIXT,Dissabte,10:00 h,,,Coordinacionfsmontsant@gmail.com
216584,"Club Futbol Sala Montsant ""A""",FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell C,Casa,FUTBOL 5,PREBENJAMÍ,MIXT,Dissabte,10:00 h,,,Coordinacionfsmontsant@gmail.com
216583,"Club Futbol Sala Montsant ""A""",FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell C,Fora,FUTBOL 5,MENUTS,MIXT,Dissabte,09:00 h,,,Coordinacionfsmontsant@gmail.com
216581,"Horta Futsal ""A""",FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,,Horta Futsal,Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell C,3,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,,,clubhortafutbolsala@hotmail.com
216580,"Horta Futsal ""A""",FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,,Horta Futsal,Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell C,3,FUTBOL 5,CADET,FEMENÍ,Divendres,20:00 h,,,clubhortafutbolsala@hotmail.com
216579,"Horta Futsal ""A""",FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,,Horta Futsal,Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell C,7,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:30 h,,,clubhortafutbolsala@hotmail.com
216578,Horta Futsal,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,,Horta Futsal,Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell C,7,FUTBOL 5,PREALEVÍ,MIXT,Divendres,19:30 h,,,clubhortafutbolsala@hotmail.com
216577,Horta Futsal (Mare Nostrum),FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,,Horta Futsal,Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell C,3,FUTBOL 5,MENUTS,MIXT,Divendres,18:00 h,,,clubhortafutbolsala@hotmail.com
216576,Horta Futsal,FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,,Horta Futsal,Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell C,3,FUTBOL 5,PREINFANTIL,FEMENÍ,Divendres,20:15 h,,,clubhortafutbolsala@hotmail.com
216575,Horta Futsal,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,,Horta Futsal,Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell C,3,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,19:30 h,,,clubhortafutbolsala@hotmail.com
216466,Escola IPSI,HOQUEI SALA ALEVÍ MIXT 1ª FASE CEEB,,Escola IPSI,Genèrica,Facturada,,,2025-10-04,,0,Nivell A,Fora,HOQUEI SALA,ALEVÍ,MIXT,Dijous,18:00 h,Sempre juguem com a visitants perquè no tenim pista local,,oriol.morera@ipsi.cat
216465,Escola IPSI,HOQUEI SALA BENJAMI MIXT 1ª FASE CEEB,,Escola IPSI,Genèrica,Facturada,,,2025-10-04,,0,Nivell A,Casa,HOQUEI SALA,BENJAMÍ,MIXT,Dijous,18:00 h,Sempre juguem com a visitants perquè no tenim pista com a local,,oriol.morera@ipsi.cat
216402,"Club Voleibol Vall D'Hebron ""ALPHA""",VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,,Club Voleibol Vall D'Hebron,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell C,Fora,VOLEIBOL,ALEVÍ,MIXT,Dissabte,11:15 h,,,team@cvvh.net
216401,"DSB Colegio Aleman de Barcelona ""A""",BÀSQUET INFANTIL MIXT 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell C,3,BÀSQUET,INFANTIL,MIXT,Dissabte,12:30 h,,,david.galceran@dsbarcelona.com
216400,"Club Voleibol Vall D'Hebron ""DELTA""",VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,,Club Voleibol Vall D'Hebron,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell C,Casa,VOLEIBOL,ALEVÍ,MIXT,Divendres,18:00 h,,,team@cvvh.net
216399,"DSB Colegio Aleman de Barcelona ""A""",BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell C,7,BÀSQUET,ALEVÍ,MIXT,Divendres,18:15 h,,,david.galceran@dsbarcelona.com
216398,"DSB Colegio Aleman de Barcelona ""A""",BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell D,3,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,18:15 h,,,david.galceran@dsbarcelona.com
216397,"DSB Colegio Aleman de Barcelona ""A""",BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell D,7,BÀSQUET,PREALEVÍ,FEMENÍ,Divendres,19:30 h,,,david.galceran@dsbarcelona.com
216396,"Club Voleibol Vall D'Hebron ""PHI""",VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,,Club Voleibol Vall D'Hebron,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell D,Casa,VOLEIBOL,INFANTIL,FEMENI,Dissabte,09:15 h,,,team@cvvh.net
216395,Club Voleibol Vall D'Hebron,VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,,Club Voleibol Vall D'Hebron,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell C,Fora,VOLEIBOL,INFANTIL,FEMENI,Dissabte,09:15 h,,,team@cvvh.net
216394,"DSB Colegio Aleman de Barcelona ""A""",BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell D,7,BÀSQUET,BENJAMÍ,MIXT,Dissabte,12:30 h,,,david.galceran@dsbarcelona.com
216393,"Escola Orlandai ""A""",BÀSQUET JÚNIOR MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,7,BÀSQUET,JÚNIOR,MIXT,Divendres,20:45 h,,,basquet@orlandai.org
216392,"Escola Orlandai ""B""",BÀSQUET JÚNIOR MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,7,BÀSQUET,JÚNIOR,MIXT,Divendres,19:30 h,,,basquet@orlandai.org
216391,"Escola Orlandai ""C""",BÀSQUET JÚNIOR MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell B,7,BÀSQUET,JÚNIOR,MIXT,Divendres,18:00 h,,,basquet@orlandai.org
216390,"Escola Orlandai ""A""",BÀSQUET JÚNIOR FEMENÍ 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell B,7,BÀSQUET,JÚNIOR,FEMENÍ,Dissabte,13:15 h,,,basquet@orlandai.org
216389,"Escola Orlandai ""A""",BÀSQUET JUVENIL MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,7,BÀSQUET,JUVENIL,MIXT,Dissabte,11:45 h,,,basquet@orlandai.org
216388,"Club Bàsquet Sta Rosa de Lima-Horta ""A""",BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell D,Casa,BÀSQUET,PREALEVÍ,MIXT,Dissabte,10:15 h,EL NOM DE L'EQUIP HA DE SER LIMA-HORTA BÀSQUET SALMÓ,,jfausma@hotmail.com
216387,"Escola Orlandai ""A""",BÀSQUET CADET MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell B,7,BÀSQUET,CADET,MIXT,Dissabte,09:00 h,,,basquet@orlandai.org
216386,"Club Bàsquet Sta Rosa de Lima-Horta ""Negre""",BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell D,Casa,BÀSQUET,BENJAMÍ,MIXT,Dissabte,09:00 h,EL NOM DE L'EQUIP HA DE SER LIMA-HORTA BÀSQUET SALMÓ,,jfausma@hotmail.com
216385,"Escola Orlandai ""A""",BÀSQUET CADET FEMENÍ 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell C,7,BÀSQUET,CADET,FEMENÍ,Divendres,18:00 h,,,basquet@orlandai.org
216384,"Club Bàsquet Sta Rosa de Lima-Horta ""Vermell""",BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell B,Casa,BÀSQUET,BENJAMÍ,FEMENÍ,Dissabte,09:00 h,EL NOM DE L'EQUIP HA DE SER LIMA-HORTA BÀSQUET SALMÓ,,jfausma@hotmail.com
216383,"Escola Orlandai ""A""",BÀSQUET PREINFANTIL MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,7,BÀSQUET,PREINFANTIL,MIXT,Dissabte,10:30 h,,,basquet@orlandai.org
216382,"Club Bàsquet Sta Rosa de Lima-Horta ""Vermell""",BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell C,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,19:15 h,EL NOM DE L'EQUIP HA DE SER LIMA-HORTA BÀSQUET,,jfausma@hotmail.com
216381,"Club Bàsquet Sta Rosa de Lima-Horta ""A""",BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell E,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,EL NOM DE L'EQUIP HA DE SER LIMA-HORTA BÀSQUET BLAU,,jfausma@hotmail.com
216378,"Club Bàsquet Sta Rosa de Lima-Horta ""A""",BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell C,Casa,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,EL NOM DE L'EQUIP HA DE SER LIMA-HORTA BÀSQUET,,jfausma@hotmail.com
216376,"Escola Orlandai ""A""",BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell B,7,BÀSQUET,ALEVÍ,MIXT,Dissabte,10:15 h,,,basquet@orlandai.org
216375,"Escola Orlandai ""A""",BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell B,7,BÀSQUET,PREALEVÍ,MIXT,Dissabte,11:30 h,,,basquet@orlandai.org
216374,"Escola Orlandai ""A""",BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell B,7,BÀSQUET,BENJAMÍ,MIXT,Dissabte,12:45 h,,,basquet@orlandai.org
216279,"DSB Colegio Aleman de Barcelona ""Negre""",VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell E,6,VOLEIBOL,INFANTIL,FEMENI,Dissabte,10:15 h,,,adrian.valles@dsbarcelona.com
216278,"DSB Colegio Aleman de Barcelona ""Negre""",VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell D,6,VOLEIBOL,ALEVÍ,MIXT,Dissabte,09:00 h,,,adrian.valles@dsbarcelona.com
216277,"DSB Colegio Aleman de Barcelona ""Verd""",VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell C,6,VOLEIBOL,ALEVÍ,MIXT,Divendres,18:00 h,,,adrian.valles@dsbarcelona.com
216276,"DSB Colegio Aleman de Barcelona ""Negre""",VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell D,2,VOLEIBOL,BENJAMÍ,MIXT,Dissabte,09:00 h,,,adrian.valles@dsbarcelona.com
216274,"DSB Colegio Aleman de Barcelona ""Negre""",VOLEIBOL CADET MIXT 1ª FASE CEEB,,DSB Colegio Aleman de Barcelona,Genèrica,Facturada,,,2025-10-03,,1,Nivell E,2,VOLEIBOL,CADET,MIXT,Dissabte,10:15 h,,,adrian.valles@dsbarcelona.com
216271,"Escola Estel""B""",FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,,7 d'Aventura,Genèrica,Tramitada,,2025-10-03,2025-10-03,,1,Nivell E,,FUTBOL 5,PREBENJAMÍ,MIXT,Dissabte,10:00 h,,,coordinacio6@setdaventura.com
216263,"Escola Orlandai ""A""",VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,3,VOLEIBOL,INFANTIL,MIXT,Dissabte,09:00 h,,,lluccarrasco@gmail.com
216262,"Escola Orlandai ""A""",VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,3,VOLEIBOL,JUVENIL,FEMENI,Dissabte,10:30 h,,,llucsegura@gmail.com
216261,"Escola La Mar Bella AMPA ""A""",FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,,Escola La Mar Bella AMPA,Genèrica,Facturada,,,2025-10-03,,1,Nivell C,Fora,FUTBOL 5,PREBENJAMÍ,MIXT,Divendres,18:00 h,,,martinrenna2001@gmail.com
216260,"Escola de les Aigües (Valors IPP) ""H""",FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,,Escola de les Aigües (Valors IPP),Genèrica,Facturada,,,2025-10-03,,1,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,,,jnogueroles@somvalors.com
216259,"Escola de les Aigües (Valors IPP) ""A""",FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,,Escola de les Aigües (Valors IPP),Genèrica,Facturada,,,2025-10-03,,1,Nivell E,Fora,FUTBOL 5,BENJAMÍ,MIXT,Divendres,18:15 h,,,jnogueroles@somvalors.com
216258,"Jesuïtes Sant Gervasi- Escola infant Jesús ""A""",VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,,Jesuïtes Sant Gervasi- Escola infant Jesús,Genèrica,Tramitada,,,2025-10-03,,1,Nivell E,7,VOLEIBOL,CADET,FEMENI,Dissabte,11:30 h,,,helena.ferran@fje.edu
216257,Jesuïtes Sant Gervasi- Escola infant Jesús A,VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,,Jesuïtes Sant Gervasi- Escola infant Jesús,Genèrica,Tramitada,,,2025-10-03,,1,Nivell E,7,VOLEIBOL,CADET,FEMENI,Dissabte,10:00 h,,,helena.ferran@fje.edu
216256,"Jesuïtes Sant Gervasi- Escola infant Jesús ""A""",VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,,Jesuïtes Sant Gervasi- Escola infant Jesús,Genèrica,Tramitada,,,2025-10-03,,1,Nivell E,7,VOLEIBOL,PREALEVÍ,MIXT,Dissabte,09:00 h,,,helena.pons@fje.edu
216255,Escola Galí Bellesguard/Sant Gregori (AE L'Eixample),FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,,Galí Bellesguard (AE L'Eixample),Genèrica,Tramitada,,,2025-10-03,,1,Nivell C,5,FUTBOL 5,JUVENIL,MIXT,Divendres,19:00 h,,,esports@santgregori.org
216254,"Jesuïtes Sant Gervasi- Escola infant Jesús ""B""",VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,,Jesuïtes Sant Gervasi- Escola infant Jesús,Genèrica,Tramitada,,,2025-10-03,,1,Nivell E,7,VOLEIBOL,PREALEVÍ,MIXT,Dissabte,10:15 h,,,helena.pons@fje.edu
216253,"Escola Orlandai ""B""",VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,3,VOLEIBOL,CADET,FEMENI,Divendres,18:15 h,,,helenaberanuy99@gmail.com
216252,"Jesuïtes Sant Gervasi- Escola infant Jesús ""C""",VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,,Jesuïtes Sant Gervasi- Escola infant Jesús,Genèrica,Tramitada,,,2025-10-03,,1,Nivell E,7,VOLEIBOL,CADET,FEMENI,Dissabte,11:15 h,,,heidi.ruiz@fje.edu
216251,"Escola Rambleta del Clot (FPC CET 10) ""A""",FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,,Escola Rambleta del Clot (FPC CET 10),Genèrica,Tramitada,,,2025-10-03,,1,Nivell C,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,,,klkanfoud@cet10.com
216250,"Escola Orlandai ""A""",VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,3,VOLEIBOL,ALEVÍ,MIXT,Dissabte,11:30 h,,,helenaberanuy99@gmail.com
216249,"Escola Orlandai ""B""",VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,,Escola Orlandai,Genèrica,Facturada,,,2025-10-03,,1,Nivell A,3,VOLEIBOL,ALEVÍ,MIXT,Dissabte,12:45 h,,,helenaberanuy99@gmail.com
216248,Jesuïtes Sant Gervasi- Escola infant Jesús A,VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,,Jesuïtes Sant Gervasi- Escola infant Jesús,Genèrica,Tramitada,,,2025-10-03,,1,Nivell E,7,VOLEIBOL,JUVENIL,FEMENI,Dissabte,12:45 h,,,heidi.ruiz@fje.edu
